"My 
Conn","Grad
Month","Grad
Year",Job Title,Home Country,Current City,Current State,Gender,Major1,Major2,Major3,Minor1,Minor2,Minor3,Certificate1,Certificate2,Certificate3
1,May,2020,Senior Inside Sales Representative,UNITED STATES,Chicago,IL,Male,Business Analytics,Marketing (Marketing Analytics),,,,,,,
1,May,2020,Audit Analytics Specialist Senior Assistant,UNITED STATES,Chicago,IL,Female,Business Analytics,Management (Leadership and Management),,,,,,,
1,May,2020,Senior Tech Analyst,UNITED STATES,Crystal Lake,IL,Male,Business Analytics,Finance,,,,,,,
1,May,2020,Associate Project Delivery Specialist,UNITED STATES,Story City,IA,Male,Business Analytics,,,,,,,,
1,May,2020,,UNITED STATES,Bettendorf,IA,Male,Business Analytics,,,,,,Sustainability Program,,
1,May,2020,Procurement Agent,UNITED STATES,St Louis,MO,Female,Business Analytics,Management (Leadership and Management),,,,,,,
1,May,2020,Senior Regulatory Analyst,UNITED STATES,Iowa City/Cedar Rapids,IA,Male,Business Analytics,,,,,,,,
3,May,2020,,SOUTH KOREA,,,Male,Business Analytics,,,,,,,,
1,May,2020,Bartender,UNITED STATES,Chicago,IL,Male,Business Analytics,Marketing (Marketing Analytics),,,,,,,
3,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
1,May,2020,Business Analyst,UNITED STATES,Omaha,NE,Male,Business Analytics,,,,,,,,
1,May,2020,Senior Financial Data Analyst,UNITED STATES,Bartlett,IL,Male,Business Analytics,,,,,,,,
3,May,2020,,UNITED STATES,,,Male,Business Analytics,,,,,,,,
1,May,2020,Fraud Analyst,UNITED STATES,Berkeley,IL,Male,Business Analytics,,,History,,,,,
1,May,2020,Data Analyst,UNITED STATES,Minneapolis,MN,Male,Business Analytics,Economics (Policy),,,,,,,
3,May,2020,,UNITED STATES,,,Male,Business Analytics,Accounting,,,,,,,
1,May,2020,Data & Digital Services Consulting Associate,UNITED STATES,Chicago,IL,Female,Business Analytics,Marketing (Marketing Management),,,,,,,
1,May,2020,M&A Advisory Analyst,UNITED STATES,Chicago,IL,Male,Business Analytics,Finance,,,,,,,
1,May,2020,Healthcare Consultant,UNITED STATES,Minneapolis,MN,Male,Business Analytics,,,Psychology,,,,,
3,May,2020,Material Coordinator,UNITED STATES,West Des Moines,IA,Male,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Female,Business Analytics,,,Art,,,,,
1,May,2020,Project Manager,UNITED STATES,Iowa City ,IA,Female,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
3,May,2020,Data Analyst,UNITED STATES,Chicago,IL,Male,Business Analytics,,,,,,Leadership Studies,,
1,May,2020,Tax Consultant II,UNITED STATES,Chicago,IL,Male,Business Analytics,Accounting,,Political Science,,,,,
1,May,2020,Master of Business Analytics,CHINA,College Park,MD,Male,Business Analytics,Finance,,,,,,,
1,May,2020,Technology Consulting Associate,UNITED STATES,Iowa City/Cedar Rapids,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Technical Solutions Specialist,UNITED STATES,Aurora,IL,Male,Business Analytics,,,,,,Public Health-Undergraduate,,
1,May,2020,Central Assurance Associate,UNITED STATES,St Paul,MN,Female,Business Analytics,Accounting,,,,,,,
3,May,2020,Operations Analyst - Supervisor,UNITED STATES,Kansas City,KS,Male,Business Analytics,,,Economics,,,Leadership Studies,,
,May,2020,,UNITED STATES,,,Male,Business Analytics,Marketing (Marketing Management),,,,,,,
,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
1,May,2020,Technology Risk Consultant,UNITED STATES,Charlotte,NC,Male,Business Analytics,Accounting,,,,,,,
1,May,2020,Data Analyst,UNITED STATES,Nashville,TN,Female,Business Analytics,,,,,,,,
1,May,2020,Carrier Representative,UNITED STATES,Kansas City,MO,Male,Business Analytics,,,,,,,,
1,May,2020,Business Analyst,CHINA,Durham,NC,Female,Business Analytics,,,,,,,,
1,May,2020,Project Manager,UNITED STATES,Madison ,WI,Female,Business Analytics,Marketing (Marketing Management),,,,,Leadership Studies,,
1,May,2020,Equity Research Analyst,CHINA,Coralville ,IA,Female,Business Analytics,Finance,,,,,,,
1,May,2020,Business Integration Analyst,UNITED STATES,Iowa City,IA,Male,Business Analytics,,,,,,,,
1,May,2020,Business Analyst,UNITED STATES,Dubuque,IA,Female,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Male,Business Analytics,,,,,,,,
3,May,2020,,UNITED STATES,,,Female,Business Analytics,,,,,,,,
1,May,2020,MS in Quantitative Finance,CHINA,St Louis,MO,Female,Business Analytics,Accounting,,,,,Risk Management and Insurance,,
3,May,2020,"Master's degree, Applied Analysis",CHINA,New York,NY,Male,Business Analytics,,,,,,,,
3,May,2020,,CHINA,,,Male,Business Analytics,Accounting,,,,,,,
1,May,2020,Investment Analyst,CHINA,Boston,MA,Male,Business Analytics,,,,,,,,
1,May,2020,2nd Lieutenant,UNITED STATES,Iowa City ,IA,Male,Economics (Business),Business Analytics,,,,,,,
1,May,2020,Investment Analyst,UNITED STATES,Chicago,IL,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Data Analyst,CHINA,Los Angeles,CA,Female,Finance,Business Analytics,,,,,,,
1,May,2020,Financial Analyst,UNITED STATES,Barrington,IL,Male,Finance,Business Analytics,,,,,,,
3,May,2020,Business Intelligence Analyst,UNITED STATES,Kansas City,MO,Male,Finance,Business Analytics,,,,,,,
3,May,2020,Associate Solutions Analyst,UNITED STATES,Plainfield,IL,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Business Liaison Consultant,UNITED STATES,West Des Moines,IA,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Data Engineer,UNITED STATES,Iowa City ,IA,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Strategic Finance Analyst,UNITED STATES,New York,NY,Male,Finance,Business Analytics,,,,,Entrepreneurial Management,,
1,May,2020,Corporate Banking Analyst,UNITED STATES,New York,NY,Male,Finance,Business Analytics,,,,,,,
3,May,2020,,UNITED STATES,,,Male,Finance,Business Analytics,,,,,,,
,May,2020,,UNITED STATES,,,Female,Finance,Business Analytics,,,,,,,
1,May,2020,MSTM student,CHINA,Iowa City,IA,Female,Finance,Business Analytics,,,,,,,
3,May,2020,Financial Consultant,UNITED STATES,Cedar Rapids,IA,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Information Systems Analyst,UNITED STATES,Fort Lauderdale,FL,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Financial Analyst,UNITED STATES,Minneapolis,MN,Male,Finance,Business Analytics,,,,,,,
1,May,2020,Delivery Consultant II,UNITED STATES,Kansas City,MO,Female,Finance,Business Analytics,Economics (Policy),,,,,,
1,May,2020,Cloud Security Consultant,UNITED STATES,Des Moines,IA,Male,Finance,Information Systems,,,,,,,
3,May,2020,"Master of Science - MS, Business analytics",CHINA,Iowa City,IA,Female,Finance,Business Analytics,,,,,,,
3,May,2020,Software Support Specialist,UNITED STATES,Iowa City,IA,Male,Information Systems,,,,,,,,
1,May,2020,Enterprise Architect,UNITED STATES,Iowa City/Cedar Rapids,IA,Male,Information Systems,,,Computer Science,,,,,
1,May,2020,Advisory Analyst,UNITED STATES,Chicago,IL,Male,Information Systems,Finance,,,,,,,
1,May,2020,Database Administrator,UNITED STATES,Iowa City,IA,Male,Information Systems,,,,,,,,
1,May,2020,MS Business Analytics,UNITED STATES,Los Angeles,CA,Female,Information Systems,,,,,,,,
3,May,2020,,UNITED STATES,,,Male,Information Systems,,,Psychology,,,,,
,May,2020,,CHINA,,,Female,Information Systems,,,Korean Studies,,,,,
1,May,2020,M&A Transaction Services,UNITED STATES,Chicago,IL,Female,Information Systems,Accounting,,"Criminology, Law and Justice",,,,,
1,May,2020,,UNITED STATES,,,Female,Information Systems,,,Global Health Studies,,,,,
1,May,2020,Data Programmer I,UNITED STATES,Madison,WI,Male,Information Systems,,,Theatre Arts,,,,,
3,May,2020,,UNITED STATES,,,Male,Information Systems,,,,,,,,
3,May,2020,Technical Solutions Analyst,UNITED STATES,Kansas City,MO,Male,Information Systems,,,,,,,,
1,May,2020,Technician,UNITED STATES,Donahue,IA,Female,Information Systems,,,,,,,,
3,May,2020,,CHINA,,,Male,Information Systems,,,,,,,,
3,May,2020,,CHINA,,,Male,Information Systems,,,Art,,,,,
3,May,2020,,CHINA,,,Male,Information Systems,,,,,,,,
1,May,2020,Marketing Science Analyst,UNITED STATES,Broomfield,CO,Male,Marketing (Marketing Analytics),Business Analytics,,,,,,,
1,May,2020,Technology Consultant,UNITED STATES,Arlington Heights,IL,Female,Marketing (Marketing Analytics),Business Analytics,,,,,,,
1,May,2020,Data Analyst - Category Insights,UNITED STATES,West Des Moines,IA,Male,Marketing (Marketing Analytics),Business Analytics,,,,,,,
1,May,2020,Demand Planner,UNITED STATES,Chicago,IL,Male,Marketing (Marketing Management),Business Analytics,,,,,,,
1,May,2020,IT Risk Consultant,UNITED STATES,Minneapolis,MN,Female,Marketing (Marketing Management),Business Analytics,,,,,,,
1,May,2020,Member Experience Analyst,UNITED STATES,Chicago,IL,Female,Marketing (Marketing Management),Business Analytics,,,,,Leadership Studies,,
1,May,2020,Business Manager,UNITED STATES,Iowa City/Cedar Rapids,IA,Male,Marketing (Prof Sales & Management),Business Analytics,,,,,,,
1,May,2020,Category Development Analyst,UNITED STATES,Bentonville,AR,Male,Marketing (Prof Sales & Management),Information Systems,,,,,,,
